SN,Paper Title,Domain,Year,cited_by_count,in_degree_corpus,out_degree_corpus
612,Diverse Perspectives Can Mitigate Political Bias in Crowdsourced Content Moderation,General Fairness & Bias Mitigation,2023,6,1,3
81,Bias and Unfairness in Information Retrieval Systems: New Challenges in the LLM Era,LLMs & NLP,2024,98,1,4
632,Adversarial Nibbler: An Open Red-Teaming Method for Identifying Diverse Harms in Text-to-Image Generation,LLMs & NLP,2024,11,1,1
573,Language Variation and Algorithmic Bias: Understanding Algorithmic Bias in British English Automatic Speech Recognition,LLMs & NLP,2022,50,1,3
120,"Underrepresented Tones: Addressing Skin Bias in Medical Imaging for Eczema, Psoriasis, and Melanoma Detection Using CNNs",Health & Clinical AI,2023,4,1,0
578,Measuring Representational Harms in Image Captioning,LLMs & NLP,2022,35,1,1
579,"Net Benefit, Calibration, Threshold Selection, and Training Objectives for Algorithmic Fairness in Healthcare",Health & Clinical AI,2022,29,1,6
623,The Dataset Multiplicity Problem: How Unreliable Data Impacts Predictions,General Fairness & Bias Mitigation,2023,10,1,1
581,Gender and Racial Bias in Visual Question Answering Datasets,LLMs & NLP,2022,34,1,2
622,On The Impact of Machine Learning Randomness on Group Fairness,General Fairness & Bias Mitigation,2023,17,1,3
621,The Privacy-Bias Tradeoff: Data Minimization and Racial Disparity Assessments in U.S. Government,General Fairness & Bias Mitigation,2023,16,1,1
585,Multi-Disciplinary Fairness Considerations in Machine Learning for Clinical Trials,Health & Clinical AI,2022,26,1,7
614,Fairer Together: Mitigating Disparate Exposure in Kemeny Rank Aggregation,General Fairness & Bias Mitigation,2023,9,1,1
164,Dynamic Fairness-aware Recommendation Through Multi-agent Social Choice,Recommender Systems,2024,9,1,2
639,Lazy Data Practices Harm Fairness Research,General Fairness & Bias Mitigation,2024,10,1,7
163,CFaiRLLM: Consumer Fairness Evaluation in Large-Language Model Recommender System,Recommender Systems,2025,23,1,1
607,In the Name of Fairness: Assessing the Bias in Clinical Record De-Identification,Health & Clinical AI,2023,16,1,2
589,Algorithmic Fairness and Vertical Equity: Income Fairness with IRS Tax Audit Models,General Fairness & Bias Mitigation,2022,21,1,2
590,"Female, White, 27? Bias Evaluation on Data and Algorithms for Affect Recognition in Faces",General Fairness & Bias Mitigation,2022,19,1,1
591,Adaptive Sampling Strategies to Construct Equitable Training Datasets,General Fairness & Bias Mitigation,2022,18,1,6
592,Fairness Indicators for Systematic Assessments of Visual Feature Extractors,General Fairness & Bias Mitigation,2022,17,1,1
593,A Data-Driven Analysis of the Interplay between Criminological Theory and Predictive Policing Algorithms,General Fairness & Bias Mitigation,2022,17,1,0
594,Surfacing Racial Stereotypes through Identity Portrayal,LLMs & NLP,2022,14,1,1
606,Group-Fair Classification with Strategic Agents,General Fairness & Bias Mitigation,2023,2,1,1
605,Discrimination through Image Selection by Job Advertisers on Facebook,General Fairness & Bias Mitigation,2023,8,1,0
597,Subverting Fair Image Search with Generative Adversarial Perturbations,General Fairness & Bias Mitigation,2022,10,1,3
599,Selection in the Presence of Implicit Bias: The Advantage of Intersectional Constraints,General Fairness & Bias Mitigation,2022,8,1,0
